Origin,FlightDate,Region
IAD,15,SouthAtlantic
GSO,23,SouthAtlantic
DCA,18,SouthAtlantic
FLL,10,SouthAtlantic
ATL,13,SouthAtlantic
RIC,22,SouthAtlantic
IAD,28,SouthAtlantic
CHS,18,SouthAtlantic
RIC,26,SouthAtlantic
ATL,31,SouthAtlantic
MCO,29,SouthAtlantic
RDU,18,SouthAtlantic
MYR,8,SouthAtlantic
SFB,17,SouthAtlantic
JAX,14,SouthAtlantic
CHS,24,SouthAtlantic
CLT,28,SouthAtlantic
MCO,24,SouthAtlantic
GSP,29,SouthAtlantic
SAV,20,SouthAtlantic
GSP,8,SouthAtlantic
MCO,19,SouthAtlantic
PBI,4,SouthAtlantic
RIC,2,SouthAtlantic
MIA,23,SouthAtlantic
ORF,22,SouthAtlantic
RSW,28,SouthAtlantic
BWI,5,SouthAtlantic
ATL,9,SouthAtlantic
GSO,3,SouthAtlantic
IAD,18,SouthAtlantic
IAD,17,SouthAtlantic
ATL,16,SouthAtlantic
SFB,19,SouthAtlantic
ATL,11,SouthAtlantic
MIA,25,SouthAtlantic
DCA,7,SouthAtlantic
MYR,31,SouthAtlantic
BWI,29,SouthAtlantic
CHS,6,SouthAtlantic
PBI,21,SouthAtlantic
BWI,16,SouthAtlantic
RIC,31,SouthAtlantic
MCO,22,SouthAtlantic
PNS,22,SouthAtlantic
RIC,1,SouthAtlantic
ATL,2,SouthAtlantic
MYR,9,SouthAtlantic
PIE,25,SouthAtlantic
ATL,1,SouthAtlantic
TPA,24,SouthAtlantic
PBI,3,SouthAtlantic
PNS,4,SouthAtlantic
SAV,11,SouthAtlantic
BWI,2,SouthAtlantic
SAV,13,SouthAtlantic
ORF,12,SouthAtlantic
JAX,13,SouthAtlantic
RSW,4,SouthAtlantic
PIE,7,SouthAtlantic
DCA,12,SouthAtlantic
ORF,1,SouthAtlantic
RDU,17,SouthAtlantic
SAV,23,SouthAtlantic
PBI,31,SouthAtlantic
JAX,17,SouthAtlantic
MCO,10,SouthAtlantic
PIE,10,SouthAtlantic
FLL,28,SouthAtlantic
RDU,13,SouthAtlantic
CHS,1,SouthAtlantic
MYR,7,SouthAtlantic
ORF,5,SouthAtlantic
RIC,8,SouthAtlantic
RIC,20,SouthAtlantic
MYR,23,SouthAtlantic
DCA,23,SouthAtlantic
SAV,27,SouthAtlantic
PBI,25,SouthAtlantic
FLL,21,SouthAtlantic
PBI,20,SouthAtlantic
PIE,18,SouthAtlantic
SAV,10,SouthAtlantic
ORF,21,SouthAtlantic
CLT,5,SouthAtlantic
GSO,1,SouthAtlantic
TPA,6,SouthAtlantic
SAV,16,SouthAtlantic
SFB,31,SouthAtlantic
GSP,21,SouthAtlantic
FLL,8,SouthAtlantic
MYR,4,SouthAtlantic
SFB,28,SouthAtlantic
