Origin,FlightDate,Region
ATL,2017-01-10,SouthAtlantic
BOS,2017-01-14,NewEngland
RDU,2017-01-21,SouthAtlantic
ORF,2017-01-11,SouthAtlantic
EWR,2017-01-24,MiddleAtlantic
ABQ,2017-01-07,Mountain
ABQ,2017-01-03,Mountain
COS,2017-01-23,Mountain
COS,2017-01-19,Mountain
BDL,2017-01-09,NewEngland
GSP,2017-01-19,SouthAtlantic
BOS,2017-01-16,NewEngland
MYR,2017-01-13,SouthAtlantic
BHM,2017-01-06,MiddleAtlantic
HNL,2017-01-28,Pacific
LGB,2017-01-18,Pacific
LIT,2017-01-05,WestSouthCentral
MKE,2017-01-25,EastNorthCentral
LAX,2017-01-24,Pacific
OAK,2017-01-28,Pacific
GSO,2017-01-05,SouthAtlantic
BNA,2017-01-08,EastSouthCentral
LGB,2017-01-21,Pacific
DCA,2017-01-09,SouthAtlantic
ELP,2017-01-16,WestSouthCentral
RDU,2017-01-27,SouthAtlantic
SNA,2017-01-05,Pacific
SAV,2017-01-31,SouthAtlantic
MEM,2017-01-20,EastSouthCentral
RIC,2017-01-06,SouthAtlantic
ROC,2017-01-06,MiddleAtlantic
ELP,2017-01-15,WestSouthCentral
ANC,2017-01-24,Pacific
ROC,2017-01-01,MiddleAtlantic
DAL,2017-01-28,WestSouthCentral
MIA,2017-01-02,SouthAtlantic
SLC,2017-01-01,Mountain
SYR,2017-01-06,MiddleAtlantic
BUR,2017-01-20,Pacific
PHX,2017-01-15,Mountain
ROC,2017-01-10,MiddleAtlantic
PSP,2017-01-28,Pacific
OGG,2017-01-01,Pacific
SAN,2017-01-20,Pacific
SFO,2017-01-15,Pacific
TYS,2017-01-10,EastSouthCentral
MCO,2017-01-24,SouthAtlantic
MCI,2017-01-27,WestNorthCentral
STL,2017-01-21,WestNorthCentral
GSO,2017-01-15,SouthAtlantic
TUL,2017-01-18,WestSouthCentral
PHX,2017-01-14,Mountain
TPA,2017-01-24,SouthAtlantic
PWM,2017-01-22,NewEngland
RDU,2017-01-30,SouthAtlantic
DEN,2017-01-15,Mountain
PWM,2017-01-28,NewEngland
PNS,2017-01-31,SouthAtlantic
ELP,2017-01-30,WestSouthCentral
SFO,2017-01-24,Pacific
PIT,2017-01-23,MiddleAtlantic
MHT,2017-01-27,NewEngland
IND,2017-01-10,EastNorthCentral
MDW,2017-01-14,EastNorthCentral
SDF,2017-01-29,EastSouthCentral
EWR,2017-01-30,MiddleAtlantic
RSW,2017-01-10,SouthAtlantic
BUR,2017-01-02,Pacific
DAL,2017-01-04,WestSouthCentral
PIE,2017-01-06,SouthAtlantic
PDX,2017-01-10,Pacific
STL,2017-01-10,WestNorthCentral
RDU,2017-01-11,SouthAtlantic
LGA,2017-01-27,MiddleAtlantic
SAV,2017-01-24,SouthAtlantic
GRR,2017-01-05,EastNorthCentral
CLT,2017-01-19,SouthAtlantic
DCA,2017-01-29,SouthAtlantic
KOA,2017-01-02,Pacific
SDF,2017-01-20,EastSouthCentral
LAS,2017-01-28,Mountain
BUR,2017-01-30,Pacific
SNA,2017-01-14,Pacific
JFK,2017-01-06,MiddleAtlantic
CLT,2017-01-11,SouthAtlantic
BUR,2017-01-16,Pacific
GEG,2017-01-13,Pacific
LAS,2017-01-22,Mountain
PVD,2017-01-29,NewEngland
SMF,2017-01-01,Pacific
BHM,2017-01-21,EastSouthCentral
ATL,2017-01-25,SouthAtlantic
CMH,2017-01-06,EastNorthCentral
MKE,2017-01-15,EastNorthCentral
BHM,2017-01-07,MiddleAtlantic
NE,2017-01-04,WestNorthCentral
SYR,2017-01-02,MiddleAtlantic
AUS,2017-01-16,WestSouthCentral
COS,2017-01-16,Mountain
